Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52549368,"A Time of Courage (Of Blood and Bone, #3)",John Gwynne,"Gwynne, John",,"=""1509813020""","=""9781509813025""",0,Pan Macmillan,Hardcover,648,2020,2020,,2026/07/07,currently-reading,currently-reading (#1),currently-reading,,,,1,0
37917915,"A Time of Blood (Of Blood and Bone, #2)",John Gwynne,"Gwynne, John",,"=""1509812989""","=""9781509812981""",3.0,Pan Macmillan,Hardcover,496,2019,2019,2026/07/07,2026/06/21,,,read,,,,1,0
212276037,"The Devils (The Devils, #1)",Joe Abercrombie,"Abercrombie, Joe",John Anthony di Giovanni,"=""""","=""""",5.0,The Broken Binding,Hardcover,565,2025,2025,2026/06/21,2025/01/01,,,read,"Well, this was a fun ride! Really enjoyed the Dirty Dozen energy mixed with a bit of Suicide Squad seasoning, all in Abercrombie's signature wit. The grimdark bones are all there, but The Devils wears them very lightly. Fast, funny, pleasingly ruthless and occasionally tender in ways you won't see coming. A very good time with very bad people.",,,1,0
34392663,"A Time of Dread (Of Blood and Bone, #1)",John Gwynne,"Gwynne, John",,"=""1509812946""","=""9781509812943""",4.0,Pan MacMillan,Hardcover,463,2018,2018,2026/05/24,2026/05/07,,,read,,,,1,0
208430658,Blood Over Bright Haven,M.L. Wang,"Wang, M.L.",,"=""0593873351""","=""9780593873359""",4.0,Del Rey,Hardcover,428,2024,2023,2026/05/03,2025/03/14,,,read,,,,1,0
220817728,Atmosphere,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",4.0,Ballantine Books,Hardcover,337,2025,2025,2026/04/07,2025/01/01,,,read,,,,1,0
61294937,"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",Shannon Chakraborty,"Chakraborty, Shannon",S.A. Chakraborty,"=""""","=""""",4.0,Harper Voyager,Hardcover,483,2023,2023,2026/03/28,2024/07/06,,,read,,,,1,0
50523477,"The Jasmine Throne (The Burning Kingdoms, #1)",Tasha Suri,"Suri, Tasha",,"=""0356515648""","=""9780356515649""",3.0,Orbit,Paperback,533,2021,2021,2026/02/18,2026/01/17,,,read,,,,1,0
169485073,"The Strength of the Few (Hierarchy, #2)",James Islington,"Islington, James",,"=""""","=""""",4.0,Text Publishing,Hardcover,736,2025,2025,2026/01/17,2025/08/17,,,read,,,,1,0
217163697,My Friends,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982112824""","=""9781982112820""",0,Atria Books,Hardcover,436,2025,2025,,2025/12/06,to-read,to-read (#116),to-read,,,,0,0
199698485,The God of the Woods,Liz    Moore,"Moore, Liz",,"=""""","=""""",0,Riverhead Books,Kindle Edition,562,2024,2024,,2025/12/06,to-read,to-read (#115),to-read,,,,0,0
213618143,"A Drop of Corruption (Shadow of the Leviathan, #2)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""0593723821""","=""9780593723821""",4.0,Del Rey,Hardcover,461,2025,2025,2025/10/30,2025/01/01,,,read,,,,1,0
58416952,"The Will of the Many (Hierarchy, #1)",James Islington,"Islington, James",,"=""1982141190""","=""9781982141196""",5.0,Gallery / Saga Press,Kindle Edition,640,2023,2023,2025/08/17,2025/06/08,,,read,,,,1,0
39325105,"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250313228""","=""9781250313225""",4.0,Tor.com,Hardcover,512,2020,2020,2025/06/08,2025/06/01,,,read,,,,1,0
173754979,James,Percival Everett,"Everett, Percival",,"=""0385550367""","=""9780385550369""",0,Knopf Doubleday,Hardcover,303,2024,2024,,2025/04/24,to-read,to-read (#114),to-read,,,,0,0
61190770,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,"Adjei-Brenyah, Nana Kwame",,"=""0593317335""","=""9780593317334""",3.0,Pantheon,Hardcover,367,2023,2023,2025/04/24,2023/10/25,,,read,,,,1,0
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250313198""","=""9781250313195""",4.0,Tor,Hardcover,448,2019,2019,2025/03/31,2025/03/17,,,read,,,,1,0
61755703,"The Fury of the Gods (The Bloodsworn Saga, #3)",John Gwynne,"Gwynne, John",,"=""0356514293""","=""9780356514291""",3.0,Orbit,Paperback,536,2024,2024,2025/01/31,2025/01/23,,,read,,,,1,0
209439446,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",0,Red Tower Books,Hardcover,544,2025,2025,,2025/01/01,to-read,to-read (#113),to-read,,,,0,0
211003759,All the Water in the World,Eiren Caffall,"Caffall, Eiren",,"=""1250353521""","=""9781250353528""",0,St. Martin's Press,Hardcover,295,2025,2025,,2025/01/01,to-read,to-read (#112),to-read,,,,0,0
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,HarperVoyager,Kindle Edition,559,2025,2025,,2025/01/01,to-read,to-read (#111),to-read,,,,0,0
215020997,Bury Our Bones in the Midnight Soil,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""1035064642""","=""9781035064649""",0,Tor,Hardcover,535,2025,2025,,2025/01/01,to-read,to-read (#110),to-read,,,,0,0
219833252,King of Ashes,S.A. Cosby,"Cosby, S.A.",,"=""1250832063""","=""9781250832061""",0,Pine & Cedar,Hardcover,333,2025,2025,,2025/01/01,to-read,to-read (#109),to-read,,,,0,0
56988057,The Listeners,Maggie Stiefvater,"Stiefvater, Maggie",,"=""0593655508""","=""9780593655504""",0,Viking,Hardcover,382,2025,2025,,2025/01/01,to-read,to-read (#108),to-read,,,,0,0
211004089,Wild Dark Shore,Charlotte McConaghy,"McConaghy, Charlotte",,"=""""","=""""",0,Flatiron Books,Hardcover,298,2025,2025,,2025/01/01,to-read,to-read (#107),to-read,,,,0,0
211025454,The Stolen Queen,Fiona  Davis,"Davis, Fiona",,"=""0593474279""","=""9780593474273""",0,Dutton,Hardcover,352,2025,2025,,2025/01/01,to-read,to-read (#106),to-read,,,,0,0
27411345,"Wrath (The Faithful and the Fallen, #4)",John Gwynne,"Gwynne, John",,"=""1447259688""","=""9781447259688""",4.0,Tor,Hardcover,720,2016,2016,2024/12/28,2024/12/29,,,read,,,,2,0
23524878,"Ruin (The Faithful and the Fallen, #3)",John Gwynne,"Gwynne, John",,"=""1447259629""","=""9781447259626""",4.0,Tor,Hardcover,768,2015,2015,2024/12/29,2024/12/19,,,read,,,,1,0
40651803,"Valor (The Faithful and the Fallen, #2)",John Gwynne,"Gwynne, John",,"=""""","=""""",4.0,Orbit,Kindle Edition,640,2014,2014,2024/12/03,2024/11/20,,,read,,,,1,0
15750692,"Malice (The Faithful and the Fallen, #1)",John Gwynne,"Gwynne, John",,"=""0230758452""","=""9780230758452""",4.0,Tor,Hardcover,672,2012,2012,2024/11/20,2024/11/09,,,read,,,,1,0
164444179,First Lie Wins,Ashley Elston,"Elston, Ashley",,"=""""","=""""",3.0,Pamela Dorman Books,Hardcover,340,2024,2024,2024/10/06,2024/09/15,,,read,,,,1,0
112975658,The Frozen River,Ariel Lawhon,"Lawhon, Ariel",,"=""0385546874""","=""9780385546874""",0,Doubleday,Hardcover,448,2023,2023,,2024/09/16,to-read,to-read (#105),to-read,,,,0,0
150247395,"The Tainted Cup (Shadow of the Leviathan, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1984820702""","=""9781984820709""",3.0,Del Rey,Hardcover,410,2024,2024,2024/09/15,2024/08/06,,,read,,,,1,0
61885029,Starter Villain,John Scalzi,"Scalzi, John",,"=""""","=""""",3.0,Tor Books,Hardcover,264,2023,2023,2024/08/05,2024/07/20,,,read,,,,1,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",4.0,Ballantine Books,Hardcover,384,2022,2022,2024/07/20,2024/07/08,,,read,,,,1,0
60654349,Weyward,Emilia Hart,"Hart, Emilia",,"=""125028080X""","=""9781250280800""",0,St. Martin's Press,Hardcover,329,2023,2023,,2024/07/06,to-read,to-read (#104),to-read,,,,0,0
28335699,"Leviathan Falls (The Expanse, #9)",James S.A. Corey,"Corey, James S.A.",,"=""0356510395""","=""9780356510392""",4.0,Orbit ,Hardcover,528,2022,2021,2024/07/06,2024/05/29,,,read,,,,1,0
28335698,"Tiamat's Wrath (The Expanse, #8)",James S.A. Corey,"Corey, James S.A.",,"=""0316332879""","=""9780316332873""",4.0,Orbit Books,Hardcover,534,2019,2019,2024/05/28,2024/04/06,,,read,,,,1,0
32307358,"Origin (Robert Langdon, #5)",Dan    Brown,"Brown, Dan",,"=""""","=""""",2.0,Doubleday ,ebook,480,2017,2017,2018/03/27,2017/10/19,,,read,,,,1,0
5941114,"The Likeness (Dublin Murder Squad, #2)",Tana French,"French, Tana",,"=""0143115626""","=""9780143115625""",3.0,Penguin Books,Paperback,466,2009,2008,2024/04/06,2021/08/08,,,read,,,,1,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",4.0,Entangled: Red Tower Books,Hardcover,623,2023,2023,,2024/03/31,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",3.0,Entangled: Red Tower Books,Hardcover,517,2023,2023,,2024/03/31,,,read,,,,1,0
36692478,There There,Tommy Orange,"Orange, Tommy",,"=""""","=""""",0,Knopf,Hardcover,294,2018,2018,,2024/03/11,to-read,to-read (#103),to-read,,,,0,0
28335696,"Persepolis Rising (The Expanse, #7)",James S.A. Corey,"Corey, James S.A.",,"=""0316332828""","=""9780316332828""",4.0,Orbit Books,Kindle Edition,608,2017,2017,2024/03/10,2024/01/15,,,read,,,,1,0
40390766,The Huntress,Kate Quinn,"Quinn, Kate",,"=""0062884344""","=""9780062884343""",0,William Morrow,Hardcover,549,2019,2019,,2019/06/18,to-read,to-read (#34),to-read,,,,0,0
23492291,The Year of the Locust,Terry Hayes,"Hayes, Terry",,"=""1442384387""","=""9781442384385""",3.0,Simon  Schuster Audio,Audiobook,299,,2023,2024/01/13,2016/11/23,,,read,,,,1,0
101160844,The River We Remember,William Kent Krueger,"Krueger, William Kent",,"=""198217921X""","=""9781982179212""",0,Atria Books,Hardcover,432,2023,2023,,2023/11/19,to-read,to-read (#102),to-read,,,,0,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",4.0,Harper Voyager,Hardcover,544,2022,2022,2023/11/11,2023/04/15,,,read,,,,1,0
40874032,"Vicious (Villains, #1)",V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""""","=""""",0,Tor Books,Kindle Edition,402,2013,2013,,2023/11/01,to-read,to-read (#101),to-read,,,,0,0
35606041,"A Little Hatred (The Age of Madness, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""031618716X""","=""9780316187169""",0,Orbit,Hardcover,471,2019,2019,,2023/10/31,to-read,to-read (#100),to-read,,,,0,0
58884736,The Measure,Nikki Erlick,"Erlick, Nikki",,"=""0063204207""","=""9780063204201""",0,William Morrow,Hardcover,353,2022,2022,,2023/10/31,to-read,to-read (#99),to-read,,,,0,0
40864002,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky Chambers,"Chambers, Becky",,"=""""","=""""",0,Tordotcom,ebook,151,2021,2021,,2023/10/31,to-read,to-read (#98),to-read,,,,0,0
180357146,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,"=""0802162177""","=""9780802162175""",0,Grove Press,Paperback,715,2025,2023,,2023/10/31,to-read,to-read (#97),to-read,,,,0,0
123163147,The Future,Naomi Alderman,"Alderman, Naomi",,"=""166802568X""","=""9781668025680""",0,Simon & Schuster,Hardcover,432,2023,2023,,2023/10/31,to-read,to-read (#96),to-read,,,,0,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,Ecco,Hardcover,360,2022,2022,,2023/10/25,to-read,to-read (#95),to-read,,,,0,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",0,Harper,Hardcover,560,2022,2022,,2023/10/02,to-read,to-read (#94),to-read,,,,0,0
60766189,"A Day of Fallen Night (The Roots of Chaos, #0.1)",Samantha Shannon,"Shannon, Samantha",,"=""1635577926""","=""9781635577921""",4.0,Bloomsbury Publishing,Hardcover,868,2023,2023,2023/09/19,2023/08/01,,,read,,,,1,0
1024275,"The Beekeeper's Apprentice (Mary Russell, #1)",Laurie R. King,"King, Laurie R.",,"=""0312427360""","=""9780312427368""",0,Picador,Paperback,346,2007,1994,,2020/04/07,to-read,to-read (#55),to-read,,,,0,0
57693427,The Night Shift,Alex Finlay,"Finlay, Alex",,"=""1250268885""","=""9781250268884""",3.0,Minotaur Books,Hardcover,312,2022,2022,2023/08/01,2023/07/11,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",5.0,Knopf,Hardcover,399,2022,2022,2023/07/11,2023/06/24,,,read,,,,1,0
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4.0,Orbit,Paperback,416,2017,2017,2023/06/24,2023/05/03,,,read,,,,1,0
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4.0,Orbit,Paperback,410,2016,2016,2023/05/03,2023/03/21,,,read,,,,1,0
57341045,"The Hunger of the Gods (The Bloodsworn Saga, #2)",John Gwynne,"Gwynne, John",,"=""0356514226""","=""9780356514222""",4.0,Orbit,Hardcover,633,2022,2022,2023/03/21,2023/03/01,,,read,,,,1,0
60652997,"Hell Bent (Alex Stern, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313104""","=""9781250313102""",4.0,Flatiron Books,Hardcover,481,2023,2023,2023/03/01,2023/01/18,,,read,,,,1,0
55277083,"The Shadow of the Gods (The Bloodsworn Saga, #1)",John Gwynne,"Gwynne, John",,"=""0316539880""","=""9780316539883""",5.0,Orbit,Paperback,496,2021,2021,2023/02/20,2021/05/29,,,read,,,,1,0
56326737,"Constance (Constance, #1)",Matthew FitzSimmons,"FitzSimmons, Matthew",,"=""154201428X""","=""9781542014281""",4.0,Thomas & Mercer,Kindle Edition,343,2021,2021,2023/01/15,2021/09/01,,,read,,,,1,0
60806778,The Deluge,Stephen Markley,"Markley, Stephen",,"=""1982123095""","=""9781982123093""",0,Simon & Schuster,Hardcover,896,2023,2023,,2023/01/02,to-read,to-read (#93),to-read,,,,0,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",5.0,Knopf,Hardcover,259,2022,2022,2022/12/29,2022/12/04,,,read,,,,1,0
60293362,Primitives,Erich Krauss,"Krauss, Erich",,"=""1628601337""","=""9781628601336""",3.0,Briar Road Books ,Hardcover,424,2022,2022,2022/12/04,2022/10/26,,,read,,,,1,0
58725025,"Ordinary Monsters (The Talents Trilogy, #1)",J.M. Miro,"Miro, J.M.",,"=""1250833663""","=""9781250833662""",3.0,Flatiron Books,Hardcover,672,2022,2022,2022/10/26,2022/05/29,,,read,,,,1,0
59838811,Upgrade,Blake Crouch,"Crouch, Blake",,"=""0593157532""","=""9780593157534""",3.0,Ballantine Books,Hardcover,352,2022,2022,2022/08/27,2022/05/29,,,read,,,,1,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4.0,Orbit,Paperback,468,2015,2015,2022/08/09,2022/06/18,,,read,,,,1,0
57693406,The Kaiju Preservation Society,John Scalzi,"Scalzi, John",,"=""0765389126""","=""9780765389121""",4.0,Tor Books,Hardcover,264,2022,2022,2022/06/18,2021/12/28,,,read,,,,1,0
41637112,A Half-Built Garden,Ruthanna Emrys,"Emrys, Ruthanna",,"=""1250210976""","=""9781250210975""",0,Tordotcom,Kindle Edition,347,2022,2022,,2022/05/29,to-read,to-read (#92),to-read,,,,0,0
58724626,"What Moves the Dead (Sworn Soldier, #1)",T. Kingfisher,"Kingfisher, T.",,"=""1250830753""","=""9781250830753""",0,Tor Nightfire,Hardcover,165,2022,2022,,2022/05/29,to-read,to-read (#91),to-read,,,,0,0
58724923,Hidden Pictures,Jason Rekulak,"Rekulak, Jason",,"=""1250819342""","=""9781250819345""",0,Flatiron Books,Hardcover,372,2022,2022,,2022/05/29,to-read,to-read (#90),to-read,,,,0,0
53288434,The Lost Apothecary,Sarah Penner,"Penner, Sarah",,"=""0778311015""","=""9780778311010""",3.0,Park Row,Hardcover,301,2021,2021,2022/05/17,2022/05/03,,,read,,,,1,0
57094295,Termination Shock,Neal Stephenson,"Stephenson, Neal",,"=""0063028050""","=""9780063028050""",3.0,William Morrow,Hardcover,708,2021,2021,2022/02/22,2021/10/27,,,read,,,,1,0
56783258,Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,"=""1982168439""","=""9781982168438""",4.0,Scribner,Hardcover,626,2021,2021,2022/02/08,2021/09/01,,,read,,,,1,0
57850265,How High We Go in the Dark,Sequoia Nagamatsu,"Nagamatsu, Sequoia",,"=""0063072645""","=""9780063072640""",0,William Morrow,Hardcover,293,2022,2022,,2021/12/28,to-read,to-read (#89),to-read,,,,0,0
57693169,"The Starless Crown (Moonfall, #1)",James Rollins,"Rollins, James",,"=""1250816777""","=""9781250816771""",0,Tor Books,Hardcover,560,2022,2022,,2021/12/28,to-read,to-read (#88),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765387565""","=""9780765387561""",4.0,Tor Books,Hardcover,448,2020,2020,2021/12/20,2020/10/07,,,read,,,,1,0
54976986,Great Circle,Maggie Shipstead,"Shipstead, Maggie",,"=""""","=""""",0,Knopf,Hardcover,608,2021,2021,,2021/12/20,to-read,to-read (#87),to-read,,,,0,0
56347314,My Monticello,Jocelyn Nicole Johnson,"Johnson, Jocelyn Nicole",,"=""1250807158""","=""9781250807151""",0,Henry Holt and Co.,Hardcover,224,2021,2021,,2021/12/20,to-read,to-read (#86),to-read,,,,0,0
53911860,The End of Men,Christina Sweeney-Baird,"Sweeney-Baird, Christina",,"=""0593328132""","=""9780593328132""",0,G.P. Putnam's Sons,Paperback,416,2021,2021,,2021/12/10,to-read,to-read (#85),to-read,,,,0,0
58745185,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",0,Ballantine Books,Hardcover,369,2021,2021,,2021/12/10,to-read,to-read (#84),to-read,,,,0,0
58744977,"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,"Dave, Laura",,"=""""","=""""",0,Simon & Schuster,Hardcover,306,2021,2021,,2021/12/10,to-read,to-read (#83),to-read,,,,0,0
